epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,652.848,1.18093,3.0046,1.62235,0.46839,0.68272,0.59163,0.4,1.07908,2.71118,1.79017,0.000275711,0.000275711,0.000275711
2,1280.74,1.07011,2.03379,1.46318,0.57184,0.76621,0.63042,0.39922,1.23414,2.36583,1.92437,0.000547899,0.000547899,0.000547899
3,1895.23,1.09536,1.76761,1.46004,0.55519,0.82187,0.67312,0.46332,1.07989,1.8353,1.77684,0.00081459,0.00081459,0.00081459
4,2509.66,1.04528,1.58045,1.41449,0.5869,0.88297,0.71206,0.48745,1.08261,1.51878,1.70671,0.00080826,0.00080826,0.00080826
5,3138.55,1.00935,1.4212,1.38883,0.60667,0.81593,0.71242,0.49747,1.0852,1.43686,1.71751,0.000800013,0.000800013,0.000800013
6,3812.15,0.99836,1.32358,1.37937,0.64028,0.92184,0.73782,0.51273,1.07286,1.20107,1.65848,0.000791767,0.000791767,0.000791767
7,4576.22,0.99687,1.26684,1.37343,0.63992,0.90077,0.73982,0.54256,0.99867,1.08899,1.60009,0.00078352,0.00078352,0.00078352
8,5317.92,0.9663,1.21558,1.34568,0.6585,0.9219,0.75746,0.55211,0.99094,1.02838,1.59083,0.000775273,0.000775273,0.000775273
9,5992.63,0.95456,1.17262,1.34,0.66626,0.9409,0.77111,0.57111,0.97094,0.96267,1.54353,0.000767026,0.000767026,0.000767026
10,6639.39,0.96102,1.1469,1.34809,0.60364,0.81446,0.7279,0.54167,0.95993,1.15291,1.55162,0.00075878,0.00075878,0.00075878
11,7256.21,0.95632,1.13095,1.34133,0.66147,0.90332,0.77775,0.59147,0.93127,0.92674,1.5161,0.000750533,0.000750533,0.000750533
12,7888.57,0.9166,1.08208,1.32024,0.68487,0.89568,0.77992,0.58316,0.93872,0.90411,1.52599,0.000742286,0.000742286,0.000742286
13,8523.27,0.91947,1.0399,1.30992,0.66106,0.91844,0.79429,0.56694,1.00296,0.95828,1.60787,0.00073404,0.00073404,0.00073404
14,9238.47,0.91539,1.03466,1.3146,0.65984,0.95023,0.77004,0.59274,0.91995,0.85247,1.50267,0.000725793,0.000725793,0.000725793
15,9917.86,0.90106,1.01932,1.30376,0.70197,0.9223,0.79973,0.58518,1.02365,0.84316,1.58958,0.000717546,0.000717546,0.000717546
16,10583.9,0.89444,1.00269,1.28838,0.70372,0.8989,0.81014,0.60883,0.95068,0.82787,1.53905,0.000709299,0.000709299,0.000709299
17,11288.7,0.90234,0.999,1.30759,0.74798,0.83601,0.86259,0.664,0.91771,0.77914,1.47256,0.000701053,0.000701053,0.000701053
18,11964.5,0.8753,0.97179,1.2886,0.80394,0.89683,0.91929,0.70822,0.89426,0.69477,1.46929,0.000692806,0.000692806,0.000692806
19,12685.7,0.88493,0.95801,1.30384,0.68009,0.93261,0.86014,0.6685,0.90195,0.76131,1.49487,0.000684559,0.000684559,0.000684559
20,13375.3,0.87441,0.93442,1.28622,0.76347,0.92435,0.90248,0.70014,0.88566,0.69885,1.4564,0.000676313,0.000676313,0.000676313
21,14034.7,0.86944,0.91636,1.26918,0.76294,0.88552,0.90392,0.70457,0.89013,0.70472,1.44654,0.000668066,0.000668066,0.000668066
22,14710.8,0.87432,0.90953,1.2902,0.74734,0.91332,0.90073,0.70957,0.86837,0.70332,1.43701,0.000659819,0.000659819,0.000659819
